geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;200;160;40;0.2;0.15;40;146;[1, 3, 12, 22, 23, 33, 49, 58, 62, 70]: 3520, trocas: 3;4804
2;160;131;32;0.2;0.15;32;113;[1, 3, 12, 22, 33, 49, 58, 62, 70]: 3511, trocas: 3;4689
3;131;109;26;0.2;0.15;26;90;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4564
4;109;92;22;0.2;0.15;23;82;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4481
5;92;82;18;0.2;0.15;20;66;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4410
6;82;73;16;0.2;0.15;17;54;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4300
7;73;63;14;0.2;0.15;15;51;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4219
8;63;53;12;0.2;0.15;13;45;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4219
9;53;49;10;0.2;0.15;11;33;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4190
10;49;48;10;0.2;0.15;11;30;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4207
11;48;45;10;0.2;0.15;9;24;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4088
12;45;46;10;0.2;0.15;10;25;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;3829
13;46;50;10;0.2;0.15;10;26;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;3579
14;50;47;10;0.2;0.15;10;29;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;3541
15;47;48;10;0.2;0.15;10;25;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;3541
16;48;49;10;0.2;0.15;10;27;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;3532
