geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 596;
2; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 504;
3; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 590;
4; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 563;
5; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 550;
6; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 551;
7; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 547;
8; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 562;
9; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 560;
10; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 561;
11; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 565;
12; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 603;
13; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 687;
14; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 579;
15; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 540;
16; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 587;
17; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 615;
18; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 602;
19; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 619;
20; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
21; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 590;
22; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 574;
23; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 544;
24; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 557;
25; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 622;
26; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 515;
27; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 631;
28; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
29; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 609;
30; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 569;
31; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
32; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
33; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 592;
34; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 592;
35; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 556;
36; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 580;
37; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 642;
38; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
39; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 532;
40; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 615;
41; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 584;
42; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 554;
43; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 527;
44; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 578;
45; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 577;
46; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 586;
47; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 571;
48; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 507;
49; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 570;
50; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 564;
51; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 574;
52; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 574;
53; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
54; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 653;
55; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 546;
56; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 506;
57; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 544;
58; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 563;
59; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 574;
60; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 537;
61; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 546;
62; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 562;
63; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 574;
64; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 546;
65; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 556;
66; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 567;
67; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 594;
68; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 544;
69; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 597;
70; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 558;
71; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 589;
72; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 532;
73; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 506;
74; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 562;
75; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 628;
76; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 550;
77; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 593;
78; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 629;
79; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 575;
80; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 622;
81; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 590;
82; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 555;
83; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 550;
84; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 568;
85; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 592;
86; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 591;
87; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 578;
88; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 634;
89; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 557;
90; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 634;
91; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 601;
92; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
93; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 587;
94; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 580;
95; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 598;
96; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 527;
97; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 588;
98; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 562;
99; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 621;
100; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 537;
101; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 574;
102; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 548;
103; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 581;
104; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 595;
105; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 551;
106; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 557;
107; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 588;
108; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 589;
109; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 566;
110; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
111; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 532;
112; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 609;
113; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 617;
114; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 535;
115; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 573;
116; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 598;
117; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 602;
118; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 589;
119; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 611;
120; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 574;
121; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 575;
122; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 511;
123; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 592;
124; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 557;
125; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 562;
126; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 527;
127; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 475;
128; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 557;
129; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 557;
130; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 550;
131; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
132; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 538;
133; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 541;
134; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 574;
135; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 546;
136; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 530;
137; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 549;
138; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 574;
139; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 562;
140; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 539;
141; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 611;
142; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 501;
143; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 593;
144; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 641;
145; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 600;
146; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 573;
147; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 534;
148; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 646;
149; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 627;
150; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 45, 99]: 200, trocas: 0; 586;

