geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 19; 19; 12; 0.6; 0.3; 8; 20; [1, 2, 4, 10, 20] - 1163; 1864;
2; 19; 24; 12; 0.6; 0.3; 9; 16; [1, 4, 10, 20] - 1086; 1814;
3; 24; 23; 4; 0.2; 0.3; 9; 14; [1, 4, 10, 20] - 1086; 1711;
4; 23; 22; 4; 0.2; 0.3; 9; 14; [1, 4, 10, 20] - 1086; 1711;
5; 22; 21; 4; 0.2; 0.3; 8; 13; [1, 4, 10, 20] - 1086; 1660;
6; 21; 21; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
7; 21; 21; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
8; 21; 21; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
9; 21; 21; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
10; 21; 21; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1612;
11; 21; 20; 4; 0.2; 0.3; 7; 12; [1, 4, 10, 20] - 1086; 1612;
12; 20; 23; 12; 0.2; 0.3; 9; 18; [1, 4, 10, 20] - 1086; 1660;
13; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
14; 23; 23; 4; 0.2; 0.3; 9; 13; [1, 4, 10, 20] - 1086; 1660;
15; 23; 20; 4; 0.2; 0.3; 8; 15; [1, 4, 10, 20] - 1086; 1612;
16; 20; 21; 12; 0.2; 0.3; 8; 19; [1, 4, 10, 20] - 1086; 1612;
17; 21; 21; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1612;
18; 21; 21; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1612;
19; 21; 22; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1660;
20; 22; 22; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;

