geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 20; 21; 12; 0.2; 0.3; 10; 21; [1, 2, 5, 10, 13, 15, 20] - 33; 48;
2; 21; 16; 4; 0.2; 0.3; 8; 17; [1, 2, 5, 10, 13, 15, 20] - 33; 48;
3; 16; 17; 10; 0.6; 0.3; 8; 17; [1, 2, 5, 10, 13, 15, 20] - 33; 48;
4; 17; 18; 10; 0.6; 0.3; 9; 18; [1, 2, 4, 10, 14, 15, 20] - 31; 48;
5; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 14, 15, 20] - 31; 44;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 8, 9, 13, 15, 20] - 33; 47;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 3, 5, 10, 14, 15, 20] - 34; 46;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 3, 5, 10, 14, 15, 20] - 34; 48;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 3, 5, 10, 14, 15, 20] - 34; 49;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 13, 15, 20] - 30; 51;

