geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 19; 19; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1718
2; 19; 20; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 6;1814
3; 20; 20; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 6;1814
4; 20; 20; 10; 0.1; 2; 2; 1; 0; 0.03; 1; 1; 7;1718
5; 20; 20; 10; 0.1; 5; 0; 0; 0; 0.03; 1; 1; 7;1718
6; 20; 19; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 6;1612
7; 19; 20; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 6;1711
8; 20; 20; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 6;1711
9; 20; 20; 10; 0.1; 2; 3; 0; 0; 0.03; 1; 1; 7;1660
10; 20; 20; 10; 0.1; 2; 2; 1; 0; 0.03; 1; 1; 7;1660

