geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;media
1;20;21;12;0.2;0.3;10;21;[1, 3, 5, 12, 13, 14, 25, 33, 49, 58, 62, 70] - 3878;4602
2;21;16;4;0.2;0.3;8;17;[1, 3, 9, 13, 31, 40, 44, 55, 57, 70] - 4032;4770
3;16;17;10;0.6;0.3;8;17;[1, 3, 5, 6, 26, 34, 35, 46, 49, 58, 62, 70] - 4166;4851
4;17;18;10;0.6;0.3;9;18;[1, 2, 9, 21, 23, 31, 40, 44, 55, 57, 70] - 4097;5015
5;18;18;10;0.6;0.3;9;19;[1, 3, 5, 12, 13, 14, 26, 34, 46, 47, 55, 57, 70] - 4041;4944
6;18;18;10;0.6;0.3;9;19;[1, 2, 9, 21, 23, 31, 40, 44, 55, 57, 70] - 4097;5001
7;18;18;10;0.6;0.3;9;19;[1, 3, 9, 13, 40, 44, 45, 47, 55, 58, 62, 70] - 4205;5244
8;18;18;10;0.6;0.3;9;19;[1, 3, 9, 13, 40, 44, 45, 47, 55, 58, 62, 70] - 4205;5128
9;18;18;10;0.6;0.3;9;19;[1, 4, 10, 11, 21, 23, 33, 49, 55, 58, 62, 70] - 3935;5057
10;18;18;10;0.6;0.3;9;19;[1, 4, 10, 11, 21, 23, 33, 49, 55, 58, 62, 70] - 3935;5146

