geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 19; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 6;1660
2; 17; 18; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1660
3; 18; 17; 8; 0.5; 0; 1; 3; 0; 0.03; 1; 1; 5;1587
4; 17; 16; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 5;1587
5; 16; 17; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1527
6; 17; 20; 8; 0.5; 1; 3; 0; 0; 0.03; 1; 1; 6;1660
7; 20; 19; 10; 0.1; 5; 0; 0; 0; 0.03; 1; 1; 6;1587
8; 19; 21; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 7;1587
9; 21; 17; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1527
10; 17; 17; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 5;1527
11; 17; 18; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 6;1556
12; 18; 19; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1556
13; 19; 20; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1587
14; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 1; 1; 6;1587
15; 20; 20; 10; 0.1; 1; 3; 1; 0; 0.03; 1; 1; 7;1587
16; 20; 20; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 7;1587
17; 20; 19; 10; 0.1; 2; 3; 0; 0; 0.03; 1; 1; 6;1556
18; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;1587
19; 20; 21; 10; 0.1; 1; 2; 2; 0; 0.03; 1; 1; 7;1587
20; 21; 17; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 6;1527
21; 17; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;1556
22; 19; 20; 8; 0.5; 1; 3; 0; 0; 0.03; 1; 1; 6;1587
23; 20; 20; 10; 0.1; 2; 2; 1; 0; 0.03; 1; 1; 6;1587
24; 20; 20; 10; 0.1; 1; 2; 2; 0; 0.03; 1; 1; 7;1587
25; 20; 20; 10; 0.1; 1; 2; 2; 0; 0.03; 1; 1; 7;1587
26; 20; 20; 10; 0.1; 2; 2; 1; 0; 0.03; 1; 1; 7;1587
27; 20; 18; 10; 0.1; 2; 1; 2; 0; 0.03; 1; 1; 6;1556
28; 18; 20; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1587
29; 20; 19; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 6;1556
30; 19; 19; 8; 0.5; 0; 2; 2; 0; 0.03; 1; 1; 6;1556

