geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo;media
1;20;18;10;0.1;3;0;2;0;0.03;1;1;13;41
2;18;16;8;0.5;2;0;2;0;0.03;1;1;11;38
3;16;19;8;0.5;2;0;2;0;0.03;1;1;6;38
4;19;17;8;0.5;3;0;1;0;0.03;1;1;11;36
5;17;17;8;0.5;3;0;1;0;0.03;1;1;9;36
6;17;19;8;0.5;1;0;3;0;0.03;1;1;7;35
7;19;19;8;0.5;3;0;1;0;0.03;1;1;9;35
8;19;21;8;0.5;4;0;0;0;0.03;1;1;7;35
9;21;21;2;0.1;0;0;1;0;0.03;1;1;3;35
10;21;14;2;0.1;0;0;1;0;0.03;1;1;10;33
11;14;15;6;0.5;1;0;2;0;0.03;1;1;6;33
12;15;17;6;0.5;2;0;1;0;0.03;1;1;5;34
13;17;19;8;0.5;4;0;0;0;0.03;1;1;7;34
14;19;21;8;0.5;2;0;2;0;0.03;1;1;7;34
15;21;16;2;0.1;1;0;0;0;0.03;1;1;8;33
16;16;18;8;0.5;2;0;2;0;0.03;1;1;7;34
17;18;17;8;0.5;3;0;1;0;0.03;1;1;10;33
18;17;17;8;0.5;3;0;1;0;0.03;1;1;9;32
19;17;18;8;0.5;2;0;2;0;0.03;1;1;8;33
20;18;19;8;0.5;4;0;0;0;0.03;1;1;8;33

