geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;20;22;12;0.2;0.15;6;22;[1, 4, 10, 11, 21, 23, 31, 33, 49, 58, 62, 70] - 3990;5092
2;22;15;4;0.2;0.15;4;15;[1, 2, 9, 13, 40, 44, 56, 63, 70] - 3659;5418
3;15;19;10;0.6;0.15;5;19;[1, 2, 9, 21, 31, 33, 49, 58, 62, 70] - 3600;4751
4;19;22;12;0.6;0.15;6;23;[1, 4, 10, 11, 21, 31, 33, 49, 58, 62, 70] - 3781;4891
5;22;17;4;0.2;0.15;5;18;[1, 4, 10, 11, 21, 31, 33, 49, 58, 62, 70] - 3781;4738
6;17;20;10;0.6;0.15;6;21;[1, 4, 10, 11, 21, 31, 33, 49, 58, 62, 70] - 3781;4882
7;20;23;12;0.2;0.15;6;23;[1, 3, 12, 22, 23, 33, 49, 58, 62, 70] - 3520;4415
8;23;16;4;0.2;0.15;5;16;[1, 2, 3, 13, 40, 41, 45, 57, 70] - 3938;4988
9;16;20;10;0.6;0.15;6;20;[1, 3, 13, 40, 41, 45, 57, 70] - 3805;4846
10;20;25;12;0.2;0.15;7;26;[1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528;4321
11;25;21;6;0.2;0.15;6;22;[1, 3, 23, 25, 33, 41, 47, 55, 57, 70] - 3941;4427
12;21;16;4;0.2;0.15;5;16;[1, 3, 23, 25, 33, 41, 47, 55, 57, 70] - 3941;4739
13;16;21;10;0.6;0.15;6;21;[1, 3, 13, 40, 41, 47, 55, 57, 70] - 3956;4518
14;21;17;4;0.2;0.15;5;17;[1, 3, 5, 6, 14, 25, 33, 49, 58, 62, 70] - 3588;4429
15;17;21;10;0.6;0.15;6;22;[1, 3, 5, 6, 14, 25, 33, 49, 58, 62, 70] - 3588;4572
16;21;17;4;0.2;0.15;5;17;[1, 3, 5, 6, 14, 25, 33, 49, 58, 62, 70] - 3588;4604
17;17;17;10;0.6;0.15;5;17;[1, 3, 5, 6, 14, 25, 33, 49, 58, 62, 70] - 3588;4829
18;17;20;10;0.6;0.15;6;21;[1, 3, 5, 6, 14, 25, 33, 49, 58, 62, 70] - 3588;4586
19;20;24;12;0.2;0.15;7;25;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4551
20;24;16;4;0.2;0.15;5;17;[1, 2, 3, 13, 21, 23, 33, 47, 55, 58, 62, 70] - 3955;5583
21;16;21;10;0.6;0.15;6;21;[1, 2, 3, 13, 21, 23, 33, 47, 55, 58, 62, 70] - 3955;4785
22;21;17;4;0.2;0.15;5;17;[1, 3, 13, 21, 23, 33, 47, 55, 57, 70] - 3680;4326
23;17;18;10;0.6;0.15;5;18;[1, 3, 13, 21, 23, 33, 47, 55, 57, 70] - 3680;4691
