geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;media
1;20;21;12;0.2;0.3;10;21;[1, 3, 23, 31, 41, 45, 57, 70] - 3854;4942
2;21;16;4;0.2;0.3;8;17;[1, 2, 9, 21, 31, 40, 41, 47, 55, 57, 70] - 3901;4995
3;16;17;10;0.6;0.3;8;17;[1, 2, 9, 21, 31, 40, 41, 47, 55, 57, 70] - 3901;4960
4;17;18;10;0.6;0.3;9;18;[1, 2, 9, 13, 40, 44, 56, 61, 63, 70] - 3870;4960
5;18;18;10;0.6;0.3;9;19;[1, 3, 12, 13, 21, 23, 33, 49, 58, 62, 70] - 3711;5071
6;18;18;10;0.6;0.3;9;19;[1, 3, 12, 13, 21, 23, 33, 49, 58, 62, 70] - 3711;5071
7;18;18;10;0.6;0.3;9;19;[1, 2, 9, 21, 31, 41, 45, 57, 70] - 3716;4958
8;18;18;10;0.6;0.3;9;19;[1, 2, 3, 12, 22, 33, 49, 55, 57, 70] - 3728;5041
9;18;18;10;0.6;0.3;9;19;[1, 2, 9, 21, 22, 25, 33, 49, 58, 62, 70] - 3677;4983
10;18;18;10;0.6;0.3;9;19;[1, 2, 3, 12, 14, 22, 33, 47, 55, 57, 70] - 3776;4983

