geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 20; 21; 12; 0.2; 0.3; 10; 21; [1, 2, 4, 10, 20] - 1163; 2140;
2; 21; 16; 4; 0.2; 0.3; 8; 17; [1, 2, 4, 10, 20] - 1163; 2140;
3; 16; 17; 10; 0.6; 0.3; 8; 17; [1, 2, 4, 10, 20] - 1163; 2078;
4; 17; 23; 10; 0.6; 0.3; 9; 13; [1, 3, 9, 11, 20] - 1320; 2104;
5; 23; 18; 4; 0.2; 0.3; 9; 18; [1, 4, 11, 20] - 1408; 2158;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 9, 11, 20] - 1165; 2078;
7; 18; 23; 10; 0.6; 0.3; 9; 14; [1, 2, 9, 11, 20] - 1165; 2208;
8; 23; 23; 4; 0.2; 0.3; 9; 13; [1, 2, 3, 9, 11, 20] - 1453; 2208;
9; 23; 18; 4; 0.2; 0.3; 9; 18; [1, 2, 3, 9, 11, 20] - 1453; 2208;
10; 18; 23; 10; 0.6; 0.3; 9; 14; [1, 2, 4, 10, 20] - 1163; 2104;

