geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 35; 28; 8, 0.2, 0.3, 12, 27, [1, 4, 10, 20] - 1086, 1832
2; 28; 28; 6, 0.2, 0.3, 10, 16, [1, 4, 10, 20] - 1086, 1832
3; 28; 26; 6, 0.2, 0.3, 9, 17, [1, 4, 10, 20] - 1086, 1711
4; 26; 26; 6, 0.2, 0.3, 10, 16, [1, 4, 10, 20] - 1086, 1711
5; 26; 24; 6, 0.2, 0.3, 9, 17, [1, 4, 10, 20] - 1086, 1689
6; 24; 24; 4, 0.2, 0.3, 9, 13, [1, 4, 10, 20] - 1086, 1689
7; 24; 24; 4, 0.2, 0.3, 9, 13, [1, 4, 10, 20] - 1086, 1689
8; 24; 24; 4, 0.2, 0.3, 9, 13, [1, 4, 10, 20] - 1086, 1689
9; 24; 22; 4, 0.2, 0.3, 9, 15, [1, 4, 10, 20] - 1086, 1660
10; 22; 23; 4, 0.2, 0.3, 8, 11, [1, 4, 10, 20] - 1086, 1660
11; 23; 24; 4, 0.2, 0.3, 9, 12, [1, 4, 10, 20] - 1086, 1689
12; 24; 25; 4, 0.2, 0.3, 9, 12, [1, 4, 10, 20] - 1086, 1689
13; 25; 24; 6, 0.2, 0.3, 9, 16, [1, 4, 10, 20] - 1086, 1660
14; 24; 25; 4, 0.2, 0.3, 9, 12, [1, 4, 10, 20] - 1086, 1660
15; 25; 25; 6, 0.2, 0.3, 9, 15, [1, 4, 10, 20] - 1086, 1660
16; 25; 25; 6, 0.2, 0.3, 9, 15, [1, 4, 10, 20] - 1086, 1594
17; 25; 25; 6, 0.2, 0.3, 9, 15, [1, 4, 10, 20] - 1086, 1594
18; 25; 26; 6, 0.2, 0.3, 9, 14, [1, 4, 10, 20] - 1086, 1660
19; 26; 26; 6, 0.2, 0.3, 10, 16, [1, 4, 10, 20] - 1086, 1660
20; 26; 27; 6, 0.2, 0.3, 9, 14, [1, 4, 10, 20] - 1086, 1660

