geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 60; 42; 6; 0.1; 2; 0; 1; 0; 0.03; 1; 1; 25;39;
2; 42; 22; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 25;35;
3; 22; 15; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 10;34;
4; 15; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;34;
5; 15; 17; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;35;
6; 17; 15; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 11;34;
7; 15; 17; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;34;
8; 17; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;34;
9; 18; 14; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 13;33;
10; 14; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;33;
11; 14; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;33;
12; 14; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;33;
13; 16; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;34;
14; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;34;
15; 19; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 11;33;
16; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;33;
17; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;33;
18; 18; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;33;
19; 19; 21; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;33;
20; 21; 11; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 13;31;
21; 11; 13; 4; 0.5; 1; 0; 1; 0; 0.03; 1; 1; 3;32;
22; 13; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 5;32;
23; 15; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;32;
24; 15; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;33;
25; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;33;
26; 17; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;33;
27; 17; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6;34;
28; 20; 22; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;34;
29; 22; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;33;
30; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;33;

