geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 31; 23; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 8;1711
2; 23; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1660
3; 20; 21; 10; 0.1; 1; 4; 0; 0; 0.03; 1; 1; 7;1660
4; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1612
5; 18; 18; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 6;1612
6; 18; 18; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1612
7; 18; 19; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 6;1612
8; 19; 19; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 6;1556
9; 19; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;1556
10; 19; 17; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1486
11; 17; 20; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1556
12; 20; 21; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1556
13; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1527
14; 18; 18; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 6;1527
15; 18; 18; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1527
16; 18; 17; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1486
17; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;1486
18; 17; 18; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 6;1527
19; 18; 19; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1527
20; 19; 19; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1527

