geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 47; 12; 0.2; 0.3; 22; 47; [1, 2, 5, 12, 13, 15, 20] - 30; 51;
2; 47; 37; 10; 0.2; 0.3; 18; 38; [1, 3, 5, 12, 13, 15, 20] - 30; 49;
3; 37; 29; 8; 0.2; 0.3; 14; 30; [1, 3, 5, 12, 13, 15, 20] - 30; 49;
4; 29; 23; 6; 0.2; 0.3; 11; 23; [1, 2, 5, 12, 19, 20] - 32; 47;
5; 23; 18; 4; 0.2; 0.3; 9; 18; [1, 3, 8, 10, 14, 15, 20] - 32; 49;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 8, 10, 14, 15, 20] - 32; 49;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 8, 10, 14, 15, 20] - 32; 52;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 8, 10, 14, 15, 20] - 32; 51;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 19, 20] - 32; 48;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 19, 20] - 32; 48;

