geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; SerMutado; NumElitismo; melhor; media
1; 34; 26; 6; 0.2; ; 0.3; 11; 25; [1, 4, 10, 20] - 10861814
2; 26; 23; 6; 0.2; ; 0.3; 9; 18; [1, 4, 10, 20] - 10861711
3; 23; 24; 4; 0.2; ; 0.3; 9; 12; [1, 4, 10, 20] - 10861720
4; 24; 23; 4; 0.2; ; 0.3; 9; 14; [1, 4, 10, 20] - 10861711
5; 23; 23; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861711
6; 23; 22; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861660
7; 22; 20; 4; 0.2; ; 0.3; 8; 14; [1, 4, 10, 20] - 10861587
8; 20; 22; 12; 0.2; ; 0.3; 9; 19; [1, 4, 10, 20] - 10861660
9; 22; 21; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861587
10; 21; 20; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861587
11; 20; 22; 12; 0.2; ; 0.3; 9; 19; [1, 4, 10, 20] - 10861660
12; 22; 21; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861587
13; 21; 23; 4; 0.2; ; 0.3; 8; 10; [1, 4, 10, 20] - 10861660
14; 23; 24; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861660
15; 24; 24; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861660
16; 24; 23; 4; 0.2; ; 0.3; 9; 14; [1, 4, 10, 20] - 10861587
17; 23; 20; 4; 0.2; ; 0.3; 8; 15; [1, 4, 10, 20] - 10861556
18; 20; 23; 12; 0.2; ; 0.3; 9; 18; [1, 4, 10, 20] - 10861587
19; 23; 22; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861587
20; 22; 24; 4; 0.2; ; 0.3; 8; 10; [1, 4, 10, 20] - 10861660

