geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 47; 12; 0.2; 0.3; 22; 47; [1, 3, 8, 10, 14, 15, 20] - 32; 46;
2; 47; 37; 10; 0.2; 0.3; 18; 38; [1, 3, 8, 9, 13, 19, 20] - 33; 48;
3; 37; 29; 8; 0.2; 0.3; 14; 30; [1, 3, 5, 12, 13, 19, 20] - 30; 48;
4; 29; 23; 6; 0.2; 0.3; 11; 23; [1, 2, 5, 12, 19, 20] - 32; 49;
5; 23; 18; 4; 0.2; 0.3; 9; 18; [1, 3, 8, 9, 13, 15, 20] - 33; 49;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 10, 13, 15, 20] - 35; 52;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 10, 14, 15, 20] - 29; 49;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 11, 14, 15, 20] - 34; 52;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 4, 11, 14, 15, 20] - 34; 50;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 8, 9, 12, 19, 20] - 32; 48;

