geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 31; 25; 4; 0.1; 1; 1; 0; 0; 0.03; 1; 1; 8;1720
2; 25; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;1660
3; 20; 20; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1660
4; 20; 20; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1660
5; 20; 22; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1711
6; 22; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1587
7; 18; 20; 10; 0.5; 0; 0; 5; 0; 0.03; 1; 1; 6;1587
8; 20; 21; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1587
9; 21; 18; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 6;1556
10; 18; 18; 10; 0.5; 3; 2; 0; 0; 0.03; 1; 1; 6;1556
11; 18; 17; 10; 0.5; 4; 0; 1; 0; 0.03; 1; 1; 5;1527
12; 17; 17; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1527
13; 17; 17; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 5;1527
14; 17; 17; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 6;1527
15; 17; 20; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1587
16; 20; 20; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 7;1587
17; 20; 20; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1587
18; 20; 21; 10; 0.1; 2; 2; 1; 0; 0.03; 1; 1; 7;1587
19; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1556
20; 18; 21; 10; 0.5; 1; 1; 3; 0; 0.03; 1; 1; 7;1587

