geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 80; 59; 8; 0.1; 3; 0; 1; 0; 0.03; 2; 2; 31
2; 59; 33; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 31
3; 33; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 16
4; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10
5; 21; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7
6; 17; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7
7; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8
8; 20; 24; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 7
9; 24; 24; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3
10; 24; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 8
11; 19; 22; 8; 0.1; 3; 0; 1; 0; 0.03; 1; 1; 6
12; 22; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 8
13; 17; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7
14; 19; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 10
15; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8
16; 19; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9
17; 19; 21; 8; 0.1; 3; 0; 1; 0; 0.03; 1; 1; 7
18; 21; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 4
19; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9
20; 22; 18; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7
21; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9
22; 18; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8
23; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8
24; 20; 23; 10; 0.1; 5; 0; 0; 0; 0.03; 1; 1; 8
25; 23; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7
26; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8
27; 20; 24; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 7
28; 24; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7
29; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10
30; 21; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9
31; 15; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6
32; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8
33; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9
34; 17; 18; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8
35; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8
36; 19; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 10
37; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8
38; 19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9
39; 19; 21; 8; 0.1; 0; 0; 4; 0; 0.03; 1; 1; 7
40; 21; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 5
41; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8
42; 20; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9
43; 22; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5
44; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10
45; 21; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 4
46; 20; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9
47; 22; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 4
48; 21; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6
49; 18; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8
50; 19; 21; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 7

