geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1883;
2; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1890;
3; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1814;
4; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 4, 10, 20] - 1163; 1832;
5; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
6; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1997;
7; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 4, 10, 20] - 1163; 1890;
8; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
9; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
10; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1890;

