geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;20;18;12;0.2;0.15;4;18;[1, 3, 13, 31, 41, 45, 57, 70] - 3777;4794
2;18;16;10;0.6;0.15;4;16;[1, 3, 12, 14, 26, 33, 49, 58, 62, 70] - 3796;5559
3;16;14;9;0.6;0.15;3;14;[1, 3, 12, 14, 26, 33, 49, 58, 62, 70] - 3796;5735
4;14;12;8;0.6;0.15;3;13;[1, 2, 9, 11, 21, 22, 33, 47, 55, 56, 63, 70] - 4104;5224
5;12;10;7;0.6;0.15;2;11;[1, 4, 10, 20, 39, 44, 55, 58, 62, 70] - 4504;5224
6;10;9;6;0.6;0.15;2;9;[1, 2, 3, 13, 31, 40, 44, 54, 56, 57, 70] - 4170;5161
7;9;8;5;0.6;0.15;2;8;[1, 2, 9, 13, 21, 31, 32, 40, 41, 47, 55, 57, 70] - 4119;5161
8;8;6;4;0.6;0.15;1;7;[1, 2, 9, 13, 21, 31, 32, 40, 41, 47, 55, 57, 70] - 4119;5251
9;6;5;3;0.6;0.15;1;5;[1, 2, 9, 13, 21, 31, 32, 40, 41, 47, 55, 57, 70] - 4119;5218

