geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 4, 10, 11, 21, 31, 33, 49, 58, 62, 70] - 3858; 5080;
2; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 5, 12, 22, 33, 46, 49, 58, 62, 70] - 3964; 4827;
3; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 5, 12, 22, 33, 46, 49, 58, 62, 70] - 3964; 4942;
4; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 9, 11, 21, 31, 41, 44, 54, 56, 63, 70] - 4161; 5024;
5; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 9, 21, 31, 41, 45, 57, 70] - 3871; 5166;
6; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 9, 11, 21, 31, 41, 44, 54, 56, 63, 70] - 4161; 5208;
7; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 9, 11, 21, 31, 41, 44, 54, 56, 63, 70] - 4161; 5166;
8; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 3, 13, 22, 33, 41, 45, 57, 70] - 3911; 5166;
9; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 3, 13, 22, 33, 41, 45, 57, 70] - 3911; 5194;
10; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 5, 6, 17, 24, 28, 34, 46, 49, 58, 62, 70] - 3900; 5057;

