geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 8, 9, 12, 19, 20] - 32; 47;
2; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 8, 9, 12, 19, 20] - 32; 47;
3; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 5, 12, 19, 20] - 32; 47;
4; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 8, 9, 13, 19, 20] - 33; 46;
5; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 8, 9, 13, 19, 20] - 33; 46;
6; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 3, 5, 10, 14, 15, 20] - 34; 48;
7; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 8, 10, 14, 15, 20] - 32; 46;
8; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 8, 9, 12, 19, 20] - 32; 50;
9; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 5, 12, 19, 20] - 32; 49;
10; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 8, 9, 12, 19, 20] - 32; 50;

