geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;20;18;12;0.2;0.15;4;18;[1, 3, 12, 22, 25, 33, 49, 55, 57, 70] - 3616;4388
2;18;16;10;0.6;0.15;4;16;[1, 3, 12, 22, 25, 33, 49, 55, 57, 70] - 3616;3982
3;16;14;9;0.6;0.15;3;14;[1, 3, 12, 22, 25, 33, 49, 55, 57, 70] - 3616;3638
4;14;12;8;0.6;0.15;3;13;[1, 3, 12, 22, 25, 33, 49, 55, 57, 70] - 3616;3638
5;12;10;7;0.6;0.15;2;11;[1, 3, 12, 22, 25, 33, 49, 55, 57, 70] - 3616;3616
6;10;9;6;0.6;0.15;2;9;[1, 3, 12, 22, 25, 33, 49, 55, 57, 70] - 3616;3638
7;9;8;5;0.6;0.15;2;8;[1, 3, 12, 14, 25, 33, 49, 58, 62, 70] - 3638;5771
8;8;6;4;0.6;0.15;1;7;[1, 3, 12, 14, 25, 33, 49, 58, 62, 70] - 3638;5771
9;6;5;3;0.6;0.15;1;5;[1, 3, 12, 14, 25, 33, 49, 58, 62, 70] - 3638;3638
10;5;4;3;0.6;0.15;1;5;[1, 3, 12, 14, 25, 33, 49, 58, 62, 70] - 3638;3638
11;4;3;2;0.6;0.15;0;3;[1, 3, 12, 14, 25, 33, 49, 58, 62, 70] - 3638;3638
12;3;2;1;0.6;0.15;0;2;[1, 3, 12, 14, 25, 33, 49, 58, 62, 70] - 3638;3638
13;2;1;1;0.6;0.15;0;2;[1, 3, 12, 14, 25, 33, 49, 58, 62, 70] - 3638;3638
14;1;0;0;0.6;0.15;0;1;null;-1

