geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 19; 17; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 7;1660
2; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 6;1660
3; 18; 18; 9; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1660
4; 18; 19; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1660
5; 19; 17; 9; 0.5; 1; 2; 1; 0; 0.03; 0; 0; 6;1556
6; 17; 17; 8; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 5;1556
7; 17; 18; 8; 0.5; 1; 1; 2; 0; 0.03; 0; 0; 6;1660
8; 18; 18; 9; 0.5; 1; 1; 2; 0; 0.03; 0; 0; 6;1660
9; 18; 18; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 6;1660
10; 18; 20; 9; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1711

