geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1832;
2; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1814;
3; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1832;
4; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
5; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
6; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1844;
7; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1814;
8; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1814;
9; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1890;
10; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;

