geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;20;23;12;0.6;0.15;6;23;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;4716
2;23;15;4;0.2;0.15;4;16;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;4456
3;15;17;9;0.6;0.15;4;17;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;4014
4;17;18;10;0.6;0.15;4;19;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;4014
5;18;17;10;0.6;0.15;4;17;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
6;17;17;10;0.6;0.15;4;18;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
7;17;15;10;0.6;0.15;4;16;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
8;15;13;9;0.6;0.15;3;14;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
9;13;12;7;0.6;0.15;3;13;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
10;12;10;7;0.6;0.15;2;11;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
11;10;9;6;0.6;0.15;2;9;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
12;9;8;5;0.6;0.15;2;8;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
13;8;6;4;0.6;0.15;1;7;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
14;6;5;3;0.6;0.15;1;5;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
15;5;4;3;0.6;0.15;1;5;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
16;4;3;2;0.6;0.15;0;3;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
17;3;2;1;0.6;0.15;0;2;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863
18;2;1;1;0.6;0.15;0;2;[1, 2, 9, 13, 21, 31, 40, 44, 54, 61, 63, 70] - 3863;3863

