geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 40; 26; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 19;43;
2; 26; 14; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 15;37;
3; 14; 13; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 8;35;
4; 13; 15; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 5;36;
5; 15; 12; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 10;33;
6; 12; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;33;
7; 13; 13; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;33;
8; 13; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;34;
9; 15; 18; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 4;34;
10; 18; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;34;

