geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 40; 34; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 11;42
2; 34; 28; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 9;41
3; 28; 24; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;40
4; 24; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;38
5; 20; 24; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 7;39
6; 24; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;38
7; 21; 18; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 6;38
8; 18; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;38
9; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;38
10; 23; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;37
11; 20; 23; 10; 0.1; 0; 0; 5; 0; 0.03; 1; 1; 8;37
12; 23; 20; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 6;37
13; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;37
14; 23; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;36
15; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;35
16; 18; 20; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 7;35
17; 20; 24; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 7;35
18; 24; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;34
19; 22; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 4;34
20; 21; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;34
21; 20; 24; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 7;34
22; 24; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 5;34
23; 22; 19; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;33
24; 19; 21; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;34
25; 21; 18; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 6;33
26; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;34
27; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;34
28; 23; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;34
29; 20; 23; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 8;34
30; 23; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;34

