geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 40; 31; 8; 0.2; 0.3; 15; 32; [1, 2, 5, 12, 13, 19, 20] - 30; 47;
2; 31; 24; 6; 0.2; 0.3; 12; 25; [1, 2, 5, 12, 13, 19, 20] - 30; 45;
3; 24; 18; 4; 0.2; 0.3; 9; 19; [1, 2, 5, 12, 13, 19, 20] - 30; 45;
4; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 19, 20] - 32; 45;
5; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 10, 13, 19, 20] - 33; 47;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 10, 13, 19, 20] - 33; 49;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 12, 19, 20] - 32; 51;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 12, 19, 20] - 32; 51;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 10, 13, 19, 20] - 33; 51;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 19, 20] - 32; 49;

