geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 27; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;1864
2; 20; 21; 10; 0.1; 1; 3; 1; 0; 0.03; 1; 1; 7;1711
3; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1527
4; 18; 17; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 5;1486
5; 17; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;1527
6; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;1556
7; 20; 20; 10; 0.1; 2; 2; 1; 0; 0.03; 1; 1; 7;1556
8; 20; 20; 10; 0.1; 1; 1; 3; 0; 0.03; 1; 1; 6;1556
9; 20; 20; 10; 0.1; 2; 1; 2; 0; 0.03; 1; 1; 7;1556
10; 20; 21; 10; 0.1; 1; 3; 1; 0; 0.03; 1; 1; 7;1556

