geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 26; 19; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 7;1814
2; 19; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;1711
3; 18; 20; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 7;1731
4; 20; 20; 10; 0.1; 1; 3; 1; 0; 0.03; 1; 1; 7;1731
5; 20; 20; 10; 0.1; 4; 1; 0; 0; 0.03; 1; 1; 7;1660
6; 20; 22; 10; 0.1; 1; 1; 3; 0; 0.03; 1; 1; 7;1711
7; 22; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1587
8; 18; 20; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1660
9; 20; 20; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1587
10; 20; 22; 10; 0.1; 1; 3; 1; 0; 0.03; 1; 1; 7;1660

