geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 40; 44; 8; 0.2; 0.3; 15; 19; [1, 2, 4, 10, 20] - 1163; 2104;
2; 44; 49; 8; 0.2; 0.3; 16; 19; [1, 2, 9, 11, 20] - 1165; 2104;
3; 49; 56; 10; 0.2; 0.3; 18; 21; [1, 2, 9, 11, 20] - 1165; 2140;
4; 56; 62; 12; 0.2; 0.3; 21; 27; [1, 2, 9, 11, 20] - 1165; 2208;
5; 62; 67; 12; 0.2; 0.3; 23; 30; [1, 2, 9, 11, 20] - 1165; 2211;
6; 67; 72; 14; 0.2; 0.3; 25; 34; [1, 3, 9, 11, 20] - 1320; 2237;
7; 72; 75; 14; 0.2; 0.3; 26; 37; [1, 2, 3, 9, 11, 20] - 1453; 2237;
8; 75; 81; 16; 0.2; 0.3; 28; 38; [1, 3, 9, 11, 20] - 1320; 2237;
9; 81; 85; 16; 0.2; 0.3; 30; 42; [1, 2, 4, 10, 20] - 1163; 2273;
10; 85; 88; 18; 0.2; 0.3; 31; 46; [1, 3, 9, 11, 20] - 1320; -2;
11; 88; 91; 18; 0.2; 0.3; 32; 47; [1, 3, 9, 11, 20] - 1320; 2147483646;
12; 91; 93; 18; 0.2; 0.3; 33; 49; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
13; 93; 95; 18; 0.2; 0.3; 34; 50; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
14; 95; 98; 20; 0.2; 0.3; 35; 52; [1, 2, 3, 9, 11, 20] - 1453; -2;
15; 98; 100; 20; 0.2; 0.3; 36; 54; [1, 2, 3, 9, 11, 20] - 1453; -2;
16; 100; 101; 20; 0.2; 0.3; 36; 55; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
17; 101; 102; 20; 0.2; 0.3; 37; 56; [1, 2, 3, 9, 11, 20] - 1453; -2;
18; 102; 103; 20; 0.2; 0.3; 37; 56; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
19; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
20; 103; 102; 20; 0.2; 0.3; 37; 58; [1, 2, 4, 11, 20] - 1485; -2;
21; 102; 102; 20; 0.2; 0.3; 37; 57; [1, 2, 4, 11, 20] - 1485; -2;
22; 102; 103; 20; 0.2; 0.3; 37; 56; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
23; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
24; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
25; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 2, 4, 11, 20] - 1485; 2147483646;
26; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
27; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
28; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
29; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 2, 4, 11, 20] - 1485; 2147483646;
30; 103; 103; 20; 0.2; 0.3; 37; 57; [1, 3, 5, 6, 7, 15, 16, 18, 19] - 1486; 2147483646;

