geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 25; 19; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1832
2; 19; 20; 10; 0.5; 3; 2; 0; 0; 0.03; 1; 1; 7;1814
3; 20; 20; 10; 0.1; 2; 2; 1; 0; 0.03; 1; 1; 7;1814
4; 20; 20; 10; 0.1; 0; 5; 0; 0; 0.03; 1; 1; 6;1814
5; 20; 19; 10; 0.1; 1; 4; 0; 0; 0.03; 1; 1; 6;1718
6; 19; 20; 10; 0.5; 1; 2; 2; 0; 0.03; 1; 1; 7;1660
7; 20; 20; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 6;1556
8; 20; 21; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 7;1556
9; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1527
10; 18; 20; 10; 0.5; 2; 1; 2; 0; 0.03; 1; 1; 7;1556

