geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 40; 45; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 0;48.0
2; 45; 50; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 0;49.0
3; 50; 55; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 0;49.0
4; 55; 60; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 0;49.0
5; 60; 67; 6; 0.1; 3; 0; 0; 0; 0.03; 1; 1; 0;49.0
6; 67; 75; 6; 0.1; 3; 0; 0; 0; 0.03; 2; 2; 0;49.0
7; 75; 83; 6; 0.1; 3; 0; 0; 0; 0.03; 2; 2; 0;50.0
8; 83; 93; 8; 0.1; 3; 0; 1; 0; 0.03; 2; 2; 0;49.0
9; 93; 104; 8; 0.1; 4; 0; 0; 0; 0.03; 3; 3; 0;49.0
10; 104; 117; 10; 0.1; 5; 0; 0; 0; 0.03; 3; 3; 0;49.0

