geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 28; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 8;1832
2; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1711
3; 18; 18; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1711
4; 18; 18; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1711
5; 18; 19; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1711
6; 19; 19; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1711
7; 19; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;1587
8; 17; 17; 8; 0.5; 1; 1; 2; 0; 0.03; 1; 1; 6;1587
9; 17; 17; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1556
10; 17; 18; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 6;1587

