geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 80; 52; 8; 0.1; 3; 0; 1; 0; 0.03; 2; 2; 38;42;
2; 52; 33; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 24;38;
3; 33; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 21;34;
4; 15; 16; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 6;35;
5; 16; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;35;
6; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;35;
7; 20; 24; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 7;36;
8; 24; 12; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 15;33;
9; 12; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;33;
10; 13; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;34;

