geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 80; 55; 8; 0.1; 4; 0; 0; 0; 0.03; 2; 2; 35;41;
2; 55; 30; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 30;36;
3; 30; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 11;34;
4; 22; 14; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 11;33;
5; 14; 15; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 6;33;
6; 15; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;33;
7; 16; 16; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;33;
8; 16; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;34;
9; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;33;
10; 20; 24; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 7;34;

