geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 80; 55; 8; 0.1; 2; 0; 2; 0; 0.03; 3; 3; 36;43;
2; 55; 31; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 32;38;
3; 31; 26; 4; 0.1; 0; 0; 2; 0; 0.03; 2; 2; 11;37;
4; 26; 17; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 12;35;
5; 17; 21; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 5;36;
6; 21; 13; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 11;34;
7; 13; 14; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 6;34;
8; 14; 16; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;35;
9; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;34;
10; 17; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;35;

