geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 60; 41; 6; 0.1; 3; 0; 0; 0; 0.03; 1; 1; 26;39;
2; 41; 28; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 18;36;
3; 28; 18; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 13;34;
4; 18; 22; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 5;33;
5; 22; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;33;
6; 22; 16; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 9;32;
7; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;32;
8; 17; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6;33;
9; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;33;
10; 21; 11; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 13;31;
11; 11; 11; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 5;31;
12; 11; 11; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 5;31;
13; 11; 11; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 5;31;
14; 11; 12; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 4;31;
15; 12; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;31;
16; 13; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;33;
17; 15; 13; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 9;31;
18; 13; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;31;
19; 13; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;31;
20; 13; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 5;33;

