geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 47; 12; 0.2; 0.3; 22; 47; [1, 3, 5, 10, 14, 15, 20] - 29; 49;
2; 47; 37; 10; 0.2; 0.3; 18; 38; [1, 2, 4, 10, 14, 15, 20] - 31; 47;
3; 37; 29; 8; 0.2; 0.3; 14; 30; [1, 3, 8, 10, 14, 15, 20] - 32; 49;
4; 29; 23; 6; 0.2; 0.3; 11; 23; [1, 3, 8, 10, 14, 15, 20] - 32; 51;
5; 23; 18; 4; 0.2; 0.3; 9; 18; [1, 2, 5, 12, 19, 20] - 32; 53;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 19, 20] - 32; 52;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 10, 13, 19, 20] - 33; 52;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 10, 13, 19, 20] - 33; 51;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 8, 10, 14, 15, 20] - 32; 48;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 13, 19, 20] - 30; 46;
11; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 13, 19, 20] - 30; 46;
12; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 12, 19, 20] - 32; 50;
13; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 12, 19, 20] - 32; 54;
14; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 8, 10, 14, 15, 20] - 32; 50;
15; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 10, 13, 19, 20] - 33; 50;
16; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 10, 13, 19, 20] - 33; 48;
17; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 10, 13, 19, 20] - 33; 48;
18; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 19, 20] - 32; 48;
19; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 2, 5, 12, 19, 20] - 32; 52;
20; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 12, 13, 15, 20] - 30; 49;

