geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 60; 67; 6; 0.1; 2; 0; 1; 0; 0.03; 1; 1; 0;47.0
2; 67; 75; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 0;49.0
3; 75; 83; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 0;49.0
4; 83; 93; 8; 0.1; 4; 0; 0; 0; 0.03; 2; 2; 0;51.0
5; 93; 104; 8; 0.1; 4; 0; 0; 0; 0.03; 3; 3; 0;49.0
6; 104; 117; 10; 0.1; 5; 0; 0; 0; 0.03; 3; 3; 0;49.0
7; 117; 130; 10; 0.1; 3; 0; 2; 0; 0.03; 3; 3; 0;49.0
8; 130; 146; 12; 0.1; 5; 0; 1; 0; 0.03; 4; 4; 0;49.0
9; 146; 164; 14; 0.1; 7; 0; 0; 0; 0.03; 4; 4; 0;49.0
10; 164; 185; 16; 0.1; 8; 0; 0; 0; 0.03; 5; 5; 0;49.0

