geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 47; 12; 0.2; 0.3; 22; 47; [1, 3, 5, 12, 22, 33, 49, 58, 62, 70] - 3537; 4978;
2; 47; 37; 10; 0.2; 0.3; 18; 38; [1, 3, 23, 25, 33, 49, 58, 62, 70] - 3619; 4978;
3; 37; 29; 8; 0.2; 0.3; 14; 30; [1, 2, 9, 21, 23, 25, 33, 47, 55, 57, 70] - 3662; 4952;
4; 29; 23; 6; 0.2; 0.3; 11; 23; [1, 4, 11, 21, 23, 33, 49, 58, 62, 70] - 3787; 4952;
5; 23; 18; 4; 0.2; 0.3; 9; 18; [1, 3, 23, 25, 33, 49, 55, 58, 62, 70] - 3845; 5104;
6; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 23, 25, 33, 49, 55, 58, 62, 70] - 3845; 4998;
7; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 23, 25, 33, 49, 55, 58, 62, 70] - 3845; 5235;
8; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 6, 22, 25, 33, 49, 55, 58, 62, 70] - 3816; 4998;
9; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 5, 12, 13, 21, 23, 33, 49, 55, 58, 62, 70] - 3963; 4753;
10; 18; 18; 10; 0.6; 0.3; 9; 19; [1, 3, 9, 13, 40, 41, 45, 56, 63, 70] - 3963; 4976;

