geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 33; 26; 6; 0.2; 2; 0; 1; 0; 0.3; 11; 11; 10;1814
2; 26; 26; 6; 0.2; 2; 1; 0; 0; 0.3; 9; 9; 8;1718
3; 26; 25; 6; 0.2; 2; 1; 0; 0; 0.3; 9; 9; 8;1711
4; 25; 25; 6; 0.2; 1; 1; 1; 0; 0.3; 9; 9; 8;1689
5; 25; 24; 6; 0.2; 0; 0; 3; 0; 0.3; 9; 9; 8;1689
6; 24; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 9; 9; 8;1660
7; 23; 24; 4; 0.2; 0; 1; 1; 0; 0.3; 9; 9; 8;1689
8; 24; 23; 4; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 8;1660
9; 23; 23; 4; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 8;1660
10; 23; 22; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 7;1660
11; 22; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1660
12; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 7;1660
13; 23; 20; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1587
14; 20; 23; 12; 0.2; 2; 3; 1; 0; 0.3; 9; 9; 7;1660
15; 23; 23; 4; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 8;1660
16; 23; 23; 4; 0.2; 0; 0; 2; 0; 0.3; 9; 9; 8;1660
17; 23; 23; 4; 0.2; 2; 0; 0; 0; 0.3; 9; 9; 8;1660
18; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1660
19; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 9; 9; 8;1660
20; 23; 23; 4; 0.2; 0; 1; 1; 0; 0.3; 9; 9; 7;1660

