geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 30; 23; 6; 0.2; 1; 2; 0; 0; 0.3; 10; 10; 23;1844
2; 23; 21; 4; 0.2; 0; 0; 2; 0; 0.3; 8; 8; 14;1711
3; 21; 23; 4; 0.2; 0; 0; 2; 0; 0.3; 8; 8; 10;1711
4; 23; 21; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 14;1660
5; 21; 21; 4; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 12;1660
6; 21; 21; 4; 0.2; 1; 0; 1; 0; 0.3; 8; 8; 12;1587
7; 21; 22; 4; 0.2; 0; 0; 2; 0; 0.3; 8; 8; 11;1660
8; 22; 21; 4; 0.2; 0; 0; 2; 0; 0.3; 8; 8; 13;1587
9; 21; 20; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 13;1587
10; 20; 25; 12; 0.2; 4; 0; 2; 0; 0.3; 9; 9; 16;1660

