geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;60;41;12;0.2;0.15;11;42;[1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683;4934
2;41;28;8;0.2;0.15;8;29;[1, 4, 10, 11, 21, 23, 33, 49, 58, 62, 70] - 3709;5001
3;28;20;6;0.2;0.15;6;20;[1, 4, 10, 11, 21, 23, 33, 49, 58, 62, 70] - 3709;5046
4;20;18;12;0.2;0.15;5;19;[1, 4, 10, 11, 21, 23, 33, 49, 58, 62, 70] - 3709;5184
5;18;16;10;0.6;0.15;5;17;[1, 4, 10, 11, 21, 23, 33, 49, 58, 62, 70] - 3709;4932
6;16;15;10;0.6;0.15;4;15;[1, 3, 13, 23, 25, 26, 34, 46, 47, 55, 57, 70] - 3976;4932
7;15;14;10;0.6;0.15;4;15;[1, 3, 13, 23, 25, 26, 34, 46, 47, 55, 57, 70] - 3976;5552
8;14;13;8;0.6;0.15;4;13;[1, 3, 13, 23, 25, 26, 34, 46, 47, 55, 57, 70] - 3976;5552
9;13;12;8;0.6;0.15;4;13;[1, 3, 13, 23, 25, 26, 33, 49, 58, 62, 70] - 3971;5552
10;12;11;8;0.6;0.15;3;12;[1, 2, 9, 11, 21, 31, 41, 47, 49, 58, 62, 70] - 4171;5552
11;11;10;6;0.6;0.15;3;10;[1, 3, 13, 21, 23, 31, 33, 49, 58, 62, 70] - 3989;5530
12;10;9;6;0.6;0.15;3;10;[1, 2, 9, 21, 23, 25, 33, 49, 55, 58, 62, 70] - 3916;4491
13;9;9;6;0.6;0.15;3;9;[1, 2, 9, 21, 23, 25, 33, 49, 55, 58, 62, 70] - 3916;5359
14;9;9;6;0.6;0.15;3;9;[1, 2, 9, 11, 20, 39, 53, 61, 63, 70] - 4322;4693
15;9;9;6;0.6;0.15;3;9;[1, 2, 9, 11, 21, 23, 31, 33, 47, 55, 58, 62, 70] - 3939;5104
16;9;9;6;0.6;0.15;3;9;[1, 2, 9, 11, 21, 23, 31, 33, 47, 55, 58, 62, 70] - 3939;5104
17;9;9;6;0.6;0.15;3;9;[1, 2, 9, 11, 21, 23, 31, 33, 47, 55, 58, 62, 70] - 3939;4719
18;9;9;6;0.6;0.15;3;9;[1, 2, 9, 11, 21, 31, 40, 41, 45, 57, 70] - 3766;4495
19;9;9;6;0.6;0.15;3;9;[1, 3, 23, 25, 26, 34, 46, 49, 55, 58, 62, 70] - 4137;4817
20;9;9;6;0.6;0.15;3;9;[1, 3, 23, 25, 26, 34, 46, 49, 55, 58, 62, 70] - 4137;4918
21;9;9;6;0.6;0.15;3;9;[1, 2, 3, 12, 13, 40, 41, 45, 57, 70] - 3941;4676
22;9;9;6;0.6;0.15;3;9;[1, 2, 3, 12, 13, 40, 41, 45, 57, 70] - 3941;4676
23;9;9;6;0.6;0.15;3;9;[1, 4, 10, 20, 32, 40, 44, 45, 47, 55, 57, 70] - 4277;4754
24;9;9;6;0.6;0.15;3;9;[1, 2, 9, 21, 23, 25, 26, 33, 49, 55, 58, 62, 70] - 4175;5022
25;9;9;6;0.6;0.15;3;9;[1, 4, 10, 20, 21, 23, 33, 47, 49, 58, 62, 70] - 4417;5060
26;9;9;6;0.6;0.15;3;9;[1, 3, 23, 33, 47, 55, 58, 62, 70] - 3571;4967
27;9;9;6;0.6;0.15;3;9;[1, 3, 13, 40, 41, 47, 49, 55, 57, 70] - 4328;4663
28;9;9;6;0.6;0.15;3;9;[1, 2, 9, 13, 31, 41, 47, 49, 55, 57, 70] - 4228;4705
29;9;9;6;0.6;0.15;3;9;[1, 3, 5, 6, 26, 34, 41, 45, 47, 55, 57, 70] - 4183;4967
30;9;9;6;0.6;0.15;3;9;[1, 3, 5, 6, 26, 34, 41, 45, 47, 55, 57, 70] - 4183;4795
31;9;9;6;0.6;0.15;3;9;[1, 4, 10, 20, 39, 56, 63, 70] - 4104;5183
32;9;9;6;0.6;0.15;3;9;[1, 4, 11, 21, 22, 23, 33, 49, 58, 62, 70] - 3924;4916
33;9;9;6;0.6;0.15;3;9;[1, 4, 11, 21, 22, 23, 33, 49, 58, 62, 70] - 3924;5401
34;9;9;6;0.6;0.15;3;9;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4763
35;9;9;6;0.6;0.15;3;9;[1, 3, 5, 12, 14, 25, 33, 34, 46, 49, 58, 62, 70] - 4170;4940
