geracao; tamanhoAntesOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 30; 24; 6; 0.2; 0.3; 9; 9; 21;[1, 4, 10, 20] - 10861839
2; 24; 22; 4; 0.2; 0.3; 9; 9; 15;[1, 4, 10, 20] - 10861814
3; 22; 23; 4; 0.2; 0.3; 8; 8; 11;[1, 4, 10, 20] - 10861814
4; 23; 22; 4; 0.2; 0.3; 8; 8; 13;[1, 4, 10, 20] - 10861731
5; 22; 22; 4; 0.2; 0.3; 8; 8; 12;[1, 4, 10, 20] - 10861718
6; 22; 21; 4; 0.2; 0.3; 8; 8; 13;[1, 4, 10, 20] - 10861711
7; 21; 20; 4; 0.2; 0.3; 8; 8; 13;[1, 4, 10, 20] - 10861711
8; 20; 24; 12; 0.2; 0.3; 9; 9; 17;[1, 4, 10, 20] - 10861718
9; 24; 23; 4; 0.2; 0.3; 9; 9; 14;[1, 4, 10, 20] - 10861711
10; 23; 25; 4; 0.2; 0.3; 9; 9; 11;[1, 4, 10, 20] - 10861660
11; 25; 23; 6; 0.2; 0.3; 9; 9; 17;[1, 4, 10, 20] - 10861587
12; 23; 27; 4; 0.2; 0.3; 9; 9; 9;[1, 4, 10, 20] - 10861689
13; 27; 28; 6; 0.2; 0.3; 10; 10; 15;[1, 4, 10, 20] - 10861711
14; 28; 26; 6; 0.2; 0.3; 10; 10; 18;[1, 4, 10, 20] - 10861689
15; 26; 26; 6; 0.2; 0.3; 10; 10; 16;[1, 4, 10, 20] - 10861689
16; 26; 26; 6; 0.2; 0.3; 9; 9; 15;[1, 4, 10, 20] - 10861689
17; 26; 26; 6; 0.2; 0.3; 10; 10; 16;[1, 4, 10, 20] - 10861689
18; 26; 26; 6; 0.2; 0.3; 10; 10; 16;[1, 4, 10, 20] - 10861689
19; 26; 25; 6; 0.2; 0.3; 10; 10; 17;[1, 4, 10, 20] - 10861660
20; 25; 26; 6; 0.2; 0.3; 9; 9; 14;[1, 4, 10, 20] - 10861689

