geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 32; 23; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 9;1711
2; 23; 20; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 6;1594
3; 20; 20; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1587
4; 20; 20; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 7;1587
5; 20; 21; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1587
6; 21; 18; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 6;1556
7; 18; 19; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1556
8; 19; 20; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 7;1587
9; 20; 19; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 6;1556
10; 19; 18; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1556
11; 18; 20; 8; 0.5; 2; 2; 0; 0; 0.03; 1; 1; 7;1587
12; 20; 20; 10; 0.1; 1; 2; 2; 0; 0.03; 1; 1; 7;1587
13; 20; 21; 10; 0.1; 1; 1; 3; 0; 0.03; 1; 1; 7;1587
14; 21; 17; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 6;1527
15; 17; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 6;1556
16; 18; 19; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1556
17; 19; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 6;1556
18; 19; 20; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1587
19; 20; 20; 10; 0.1; 1; 1; 3; 0; 0.03; 1; 1; 6;1587
20; 20; 22; 10; 0.1; 3; 2; 0; 0; 0.03; 1; 1; 7;1594

