geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 12, 13, 40, 41, 45, 57, 70] - 3808; 4575;
2; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4575;
3; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4676;
4; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4773;
5; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4682;
6; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4752;
7; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4397;
8; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 5125;
9; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 5001;
10; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4792;
11; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4667;
12; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4409;
13; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4903;
14; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4515;
15; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4551;
16; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4551;
17; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4913;
18; 60; 60; 15; 0.6; 0.15; 9; 0; [1, 3, 23, 33, 49, 58, 62, 70] - 3457; 4611;
