geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;SerMutado;NumElitismo;media
1;60;50;6;0.1;0.03;1;17;43
2;50;42;4;0.1;0.03;1;13;41
3;42;35;4;0.1;0.03;1;12;38
4;35;30;2;0.1;0.03;1;8;38
5;30;26;2;0.1;0.03;1;7;37
6;26;22;2;0.1;0.03;1;7;36
7;22;19;2;0.1;0.03;1;6;35
8;19;21;8;0.5;0.03;1;7;35
9;21;19;2;0.1;0.03;1;5;34
10;19;21;8;0.5;0.03;1;7;35

