geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 46; 12; 0.2; 0.3; 21; 47; [1, 2, 5, 10, 14, 15, 20] - 29; 47;
2; 46; 35; 9; 0.2; 0.3; 16; 36; [1, 3, 8, 10, 14, 15, 20] - 32; 47;
3; 35; 27; 7; 0.2; 0.3; 12; 27; [1, 3, 5, 10, 13, 15, 20] - 33; 47;
4; 27; 20; 5; 0.2; 0.3; 9; 21; [1, 3, 8, 9, 12, 19, 20] - 32; 47;
5; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 8, 9, 12, 19, 20] - 32; 44;
6; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 5, 10, 13, 15, 20] - 33; 44;
7; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 3, 8, 10, 14, 15, 20] - 32; 44;
8; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 5, 12, 19, 20] - 32; 50;
9; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 5, 12, 19, 20] - 32; 50;
10; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 5, 12, 19, 20] - 32; 51;

