geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 66; 12; 0.2; 0.3; 21; 27; [1, 4, 10, 20] - 1086; 2189;
2; 66; 69; 13; 0.2; 0.3; 23; 33; [1, 2, 4, 10, 20] - 1163; 2211;
3; 69; 72; 13; 0.2; 0.3; 24; 34; [1, 2, 9, 11, 20] - 1165; 2211;
4; 72; 76; 14; 0.2; 0.3; 25; 35; [1, 2, 9, 11, 20] - 1165; 2237;
5; 76; 78; 15; 0.2; 0.3; 27; 40; [1, 3, 9, 11, 20] - 1320; 2291;
6; 78; 80; 15; 0.2; 0.3; 27; 40; [1, 3, 9, 11, 20] - 1320; 2273;
7; 80; 82; 16; 0.2; 0.3; 28; 42; [1, 4, 11, 20] - 1408; 2291;
8; 82; 85; 16; 0.2; 0.3; 29; 42; [1, 3, 9, 11, 20] - 1320; 2273;
9; 85; 88; 17; 0.2; 0.3; 30; 44; [1, 4, 11, 20] - 1408; 2273;
10; 88; 90; 17; 0.2; 0.3; 31; 46; [1, 4, 11, 20] - 1408; 2291;

