geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 35; 28; 3; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 9;1814
2; 28; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 7;1711
3; 22; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 6;1594
4; 18; 19; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1594
5; 19; 19; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1594
6; 19; 19; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1594
7; 19; 20; 9; 0.5; 2; 2; 0; 0; 0.03; 0; 0; 7;1612
8; 20; 21; 10; 0.1; 3; 1; 1; 0; 0.03; 0; 0; 7;1594
9; 21; 17; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 6;1527
10; 17; 17; 8; 0.5; 1; 2; 1; 0; 0.03; 0; 0; 5;1527
11; 17; 16; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 5;1527
12; 16; 17; 8; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1527
13; 17; 18; 8; 0.5; 1; 3; 0; 0; 0.03; 0; 0; 6;1556
14; 18; 17; 9; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 6;1527
15; 17; 18; 8; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1556
16; 18; 20; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 7;1594
17; 20; 20; 10; 0.1; 3; 1; 1; 0; 0.03; 0; 0; 6;1594
18; 20; 21; 10; 0.1; 4; 1; 0; 0; 0.03; 0; 0; 7;1594
19; 21; 17; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 6;1527
20; 17; 18; 8; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1556

