geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 60; 68; 12; 0.2; 0.15; 10; 14; [1, 2, 5, 10, 14, 15, 20] - 29; 43;
2; 68; 81; 13; 0.2; 0.15; 12; 12; [1, 2, 5, 10, 14, 15, 20] - 29; 43;
3; 81; 100; 16; 0.2; 0.15; 14; 11; [1, 2, 5, 10, 14, 15, 20] - 29; 42;
4; 100; 128; 20; 0.2; 0.15; 18; 10; [1, 2, 5, 10, 14, 15, 20] - 29; 43;
5; 128; 160; 25; 0.2; 0.15; 22; 15; [1, 2, 5, 10, 14, 15, 20] - 29; 44;
6; 160; 196; 32; 0.2; 0.15; 28; 24; [1, 2, 5, 10, 14, 15, 20] - 29; 44;
7; 196; 250; 39; 0.2; 0.15; 35; 20; [1, 2, 5, 10, 14, 15, 20] - 29; 45;
8; 250; 318; 50; 0.2; 0.15; 45; 27; [1, 2, 5, 10, 14, 15, 20] - 29; 46;
9; 318; 404; 63; 0.2; 0.15; 57; 34; [1, 2, 5, 10, 14, 15, 20] - 29; 47;
10; 404; 506; 80; 0.2; 0.15; 72; 50; [1, 2, 5, 10, 14, 15, 20] - 29; 48;

