geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 35; 28; 7; 0.2; 2; 0; 1; 0; 0.3; 10; 10; 9;1718
2; 28; 28; 5; 0.2; 1; 0; 1; 0; 0.3; 9; 9; 9;1718
3; 28; 26; 5; 0.2; 2; 0; 0; 0; 0.3; 9; 9; 9;1711
4; 26; 26; 5; 0.2; 0; 1; 1; 0; 0.3; 9; 9; 8;1689
5; 26; 28; 5; 0.2; 1; 1; 0; 0; 0.3; 9; 9; 9;1689
6; 28; 27; 5; 0.2; 1; 1; 0; 0; 0.3; 9; 9; 9;1660
7; 27; 26; 5; 0.2; 0; 2; 0; 0; 0.3; 8; 8; 9;1660
8; 26; 27; 5; 0.2; 1; 0; 1; 0; 0.3; 9; 9; 9;1660
9; 27; 26; 5; 0.2; 0; 1; 1; 0; 0.3; 9; 9; 9;1619
10; 26; 26; 5; 0.2; 2; 0; 0; 0; 0.3; 9; 9; 9;1619
11; 26; 26; 5; 0.2; 1; 0; 1; 0; 0.3; 9; 9; 8;1619
12; 26; 24; 5; 0.2; 0; 1; 1; 0; 0.3; 8; 8; 8;1612
13; 24; 25; 4; 0.2; 0; 0; 2; 0; 0.3; 8; 8; 8;1612
14; 25; 25; 5; 0.2; 1; 0; 1; 0; 0.3; 8; 8; 8;1612
15; 25; 25; 5; 0.2; 2; 0; 0; 0; 0.3; 9; 9; 8;1612
16; 25; 25; 5; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1612
17; 25; 24; 5; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1612
18; 24; 26; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1619
19; 26; 26; 5; 0.2; 2; 0; 0; 0; 0.3; 9; 9; 8;1619
20; 26; 25; 5; 0.2; 2; 0; 0; 0; 0.3; 9; 9; 8;1612
21; 25; 27; 5; 0.2; 2; 0; 0; 0; 0.3; 9; 9; 9;1619
22; 27; 24; 5; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1612
23; 24; 23; 4; 0.2; 1; 0; 1; 0; 0.3; 8; 8; 8;1587
24; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 7;1587
25; 23; 24; 4; 0.2; 2; 0; 0; 0; 0.3; 8; 8; 8;1612
26; 24; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 7;1587
27; 23; 23; 4; 0.2; 0; 2; 0; 0; 0.3; 7; 7; 7;1587
28; 23; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 8;1587
29; 23; 22; 4; 0.2; 2; 0; 0; 0; 0.3; 7; 7; 7;1587
30; 22; 22; 4; 0.2; 1; 0; 1; 0; 0.3; 7; 7; 7;1587
31; 22; 22; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 7;1587
32; 22; 22; 4; 0.2; 0; 1; 1; 0; 0.3; 7; 7; 7;1587
33; 22; 20; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 7;1556
34; 20; 24; 12; 0.2; 2; 1; 3; 0; 0.3; 7; 7; 7;1612
35; 24; 24; 4; 0.2; 2; 0; 0; 0; 0.3; 8; 8; 8;1594
36; 24; 23; 4; 0.2; 1; 1; 0; 0; 0.3; 7; 7; 7;1587
37; 23; 23; 4; 0.2; 2; 0; 0; 0; 0.3; 8; 8; 7;1587
38; 23; 24; 4; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1594
39; 24; 25; 4; 0.2; 0; 2; 0; 0; 0.3; 8; 8; 8;1594
40; 25; 24; 5; 0.2; 1; 1; 0; 0; 0.3; 8; 8; 8;1594

