geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
6;20;2;0.5;0;0;1;0;0.03;9;1;4
7;22;10;0.1;1;0;4;0;0.03;10;1;9
8;19;2;0.5;0;0;1;0;0.03;11;1;6
9;21;8;0.1;1;0;3;0;0.03;12;1;7
10;20;2;0.5;0;0;1;0;0.03;13;1;4
11;22;10;0.1;3;0;2;0;0.03;14;1;9
12;22;2;0.1;0;0;1;0;0.03;15;1;3
13;22;2;0.1;0;0;1;0;0.03;16;1;3
14;22;2;0.1;0;0;1;0;0.03;17;1;3
15;17;2;0.5;0;0;1;0;0.03;18;1;8
16;20;8;0.5;1;0;3;0;0.03;19;1;6
17;22;10;0.1;1;0;4;0;0.03;20;1;9
18;20;2;0.5;1;0;0;0;0.03;21;1;5
19;21;10;0.1;2;0;3;0;0.03;22;1;10
20;20;2;0.5;0;0;1;0;0.03;23;1;4
21;23;10;0.1;2;0;3;0;0.03;24;1;8
22;20;2;0.5;0;0;1;0;0.03;25;1;6
23;22;10;0.1;2;0;3;0;0.03;26;1;9
24;20;2;0.5;0;0;1;0;0.03;27;1;5
25;23;10;0.1;1;0;4;0;0.03;28;1;8
26;21;2;0.1;0;0;1;0;0.03;29;1;5
27;14;2;0.5;1;0;0;0;0.03;30;1;10
28;15;6;0.5;0;0;3;0;0.03;31;1;6
29;16;6;0.5;1;0;2;0;0.03;32;1;6
30;17;8;0.5;2;0;2;0;0.03;33;1;8

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;69;10;0.1;4;0;1;0;0.03;3;3;44
2;41;6;0.1;1;0;2;0;0.03;2;2;36
3;26;4;0.1;0;0;2;0;0.03;1;1;20
4;16;2;0.5;1;0;0;0;0.03;1;1;13
5;19;8;0.5;2;0;2;0;0.03;1;1;6
6;20;8;0.5;1;0;3;0;0.03;1;1;8
7;23;10;0.1;2;0;3;0;0.03;1;1;8
8;22;2;0.1;1;0;0;0;0.03;1;1;4
9;17;2;0.5;1;0;0;0;0.03;1;1;8
10;19;8;0.5;0;0;4;0;0.03;1;1;7
11;19;8;0.5;1;0;3;0;0.03;1;1;9
12;19;8;0.5;2;0;2;0;0.03;1;1;9
13;19;8;0.5;2;0;2;0;0.03;1;1;9
14;22;8;0.1;2;0;2;0;0.03;1;1;6
15;20;2;0.5;0;0;1;0;0.03;1;1;5
16;20;10;0.5;2;0;3;0;0.03;1;1;11
17;22;10;0.1;2;0;3;0;0.03;1;1;9
18;15;2;0.5;0;0;1;0;0.03;1;1;10
19;16;6;0.5;1;0;2;0;0.03;1;1;6
20;18;8;0.5;1;0;3;0;0.03;1;1;7

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;65;10;0.1;4;0;1;0;0.03;3;3;48
2;41;6;0.1;1;0;2;0;0.03;2;2;32
3;21;4;0.1;1;0;1;0;0.03;1;1;25
4;14;2;0.5;1;0;0;0;0.03;1;1;10
5;16;6;0.5;2;0;1;0;0.03;1;1;5
6;18;8;0.5;3;0;1;0;0.03;1;1;7
7;21;8;0.1;2;0;2;0;0.03;1;1;6
8;17;2;0.5;0;0;1;0;0.03;1;1;7
9;19;8;0.5;2;0;2;0;0.03;1;1;7
10;22;8;0.1;1;0;3;0;0.03;1;1;6

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;71;10;0.1;4;0;1;0;0.03;3;3;42
2;42;6;0.1;3;0;0;0;0.03;2;2;37
3;36;4;0.1;1;0;1;0;0.03;1;1;11
4;23;2;0.1;0;0;1;0;0.03;1;1;16
5;23;2;0.1;1;0;0;0;0.03;1;1;3
6;13;2;0.5;1;0;0;0;0.03;1;1;13
7;16;6;0.5;3;0;0;0;0.03;1;1;4
8;20;8;0.5;2;0;2;0;0.03;1;1;5
9;21;10;0.1;1;0;4;0;0.03;1;1;10
10;19;2;0.5;0;0;1;0;0.03;1;1;5
11;21;8;0.1;3;0;1;0;0.03;1;1;7
12;17;2;0.5;0;0;1;0;0.03;1;1;7
13;19;8;0.5;1;0;3;0;0.03;1;1;7
14;20;8;0.5;1;0;3;0;0.03;1;1;8
15;22;10;0.1;3;0;2;0;0.03;1;1;9
16;20;2;0.5;1;0;0;0;0.03;1;1;5
17;22;10;0.1;2;0;3;0;0.03;1;1;9
18;16;2;0.5;1;0;0;0;0.03;1;1;9
19;18;8;0.5;2;0;2;0;0.03;1;1;7
20;19;8;0.5;1;0;3;0;0.03;1;1;8

geracao; tamanho; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 71; 10; 0.1; 4; 0; 1; 0; 0.03; 3; 3; 42;
2; 36; 6; 0.1; 3; 0; 0; 0; 0.03; 2; 2; 43;
3; 18; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 21;
4; 22; 8; 0.1; 3; 0; 1; 0; 0.03; 1; 1; 5;
5; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 8;
6; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
7; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
8; 19; 10; 0.5; 3; 0; 2; 0; 0.03; 1; 1; 12;
9; 22; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 6;
10; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 4;
11; 12; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 12;
12; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;
13; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
14; 16; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 6;
15; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;
16; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 10;
17; 21; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 6;
18; 18; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 6;
19; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
20; 20; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;
21; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
22; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;
23; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
24; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 5;
25; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
26; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 4;
27; 21; 10; 0.1; 0; 0; 5; 0; 0.03; 1; 1; 10;
28; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;
29; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
30; 20; 10; 0.5; 3; 0; 2; 0; 0.03; 1; 1; 11;
31; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;
32; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 5;
33; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 7;
34; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;
35; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;
36; 20; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;
37; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;
38; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;
39; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;
40; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;
41; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
42; 16; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;
43; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;
44; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 10;
45; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
46; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
47; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
48; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
49; 12; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 12;
50; 14; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 5;

geracao; tamanho; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 68; 10; 0.1; 2; 0; 3; 0; 0.03; 3; 3; 45;
2; 35; 6; 0.1; 3; 0; 0; 0; 0.03; 2; 2; 41;
3; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 16;
4; 13; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 12;
5; 15; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 5;
6; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
7; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
8; 21; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 6;
9; 10; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 14;

geracao; tamanho; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 62; 10; 0.1; 4; 0; 1; 0; 0.03; 3; 3; 51;
2; 37; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 33;
3; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 19;
4; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 4;
5; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;
6; 13; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 11;
7; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;
8; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;
9; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;
10; 14; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 7;
11; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;
12; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;
13; 17; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;
14; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;
15; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;
16; 21; 8; 0.1; 4; 0; 0; 0; 0.03; 1; 1; 7;
17; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;
18; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
19; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;
20; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;

geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 100; 66; 10; 0.1; 5; 0; 0; 0; 0.03; 3; 3; 47;
2; 66; 39; 6; 0.1; 3; 0; 0; 0; 0.03; 2; 2; 35;
3; 39; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 21;
4; 21; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 8;
5; 16; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;
6; 18; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
7; 19; 21; 8; 0.1; 3; 0; 1; 0; 0.03; 1; 1; 7;
8; 21; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;
9; 15; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;
10; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
11; 18; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 6;
12; 21; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;
13; 19; 21; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 7;
14; 21; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6;
15; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;
16; 20; 20; 10; 0.5; 1; 0; 4; 0; 0.03; 1; 1; 11;
17; 20; 20; 10; 0.5; 1; 0; 4; 0; 0.03; 1; 1; 11;
18; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;
19; 22; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 6;
20; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
21; 20; 21; 10; 0.1; 0; 0; 5; 0; 0.03; 1; 1; 10;
22; 21; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 4;
23; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;
24; 23; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 4;
25; 22; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
26; 22; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;
27; 20; 20; 10; 0.5; 0; 0; 5; 0; 0.03; 1; 1; 11;
28; 20; 23; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 8;
29; 23; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;
30; 17; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;
31; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
32; 18; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
33; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
34; 20; 24; 10; 0.1; 0; 0; 5; 0; 0.03; 1; 1; 7;
35; 24; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7;
36; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;
37; 23; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 8;
38; 18; 20; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 7;
39; 20; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9;
40; 22; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 8;
41; 17; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;
42; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
43; 18; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
44; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9;
45; 22; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 8;
46; 17; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 7;
47; 19; 21; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 7;
48; 21; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;
49; 17; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;
50; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;

geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 40; 29; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 16;
2; 29; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 17;
3; 15; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;
4; 15; 17; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 5;
5; 17; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6;
6; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;
7; 23; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 10;
8; 16; 17; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;
9; 17; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 5;
10; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
11; 21; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;
12; 15; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;
13; 15; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;
14; 17; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
15; 19; 20; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;
16; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;
17; 21; 14; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 10;
18; 14; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
19; 15; 16; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 6;
20; 16; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;
21; 18; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;
22; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;
23; 20; 22; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;
24; 22; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 8;
25; 17; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;
26; 20; 23; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 8;
27; 23; 18; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 8;
28; 18; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 9;
29; 18; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;
30; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;
31; 20; 19; 10; 0.5; 3; 0; 2; 0; 0.03; 1; 1; 12;
32; 19; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 9;
33; 19; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 7;
34; 21; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;
35; 19; 20; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;
36; 20; 25; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 6;
37; 25; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;
38; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
39; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
40; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
41; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;
42; 21; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;
43; 15; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;
44; 15; 16; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 6;
45; 16; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;
46; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
47; 18; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;
48; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
49; 21; 17; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;
50; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
51; 18; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;
52; 19; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;
53; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
54; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
55; 21; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;
56; 21; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 4;
57; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 10;
58; 21; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 2;
59; 22; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 5;
60; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;

