geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 60; 38; 6; 0.1; 3; 0; 0; 0; 0.03; 1; 1; 29;41;
2; 38; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 21;36;
3; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;36;
4; 23; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;34;
5; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;34;
6; 17; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 7;34;
7; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;34;
8; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9;35;
9; 22; 12; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 13;33;
10; 12; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;33;
11; 14; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;33;
12; 15; 17; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 5;33;
13; 17; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;33;
14; 20; 19; 10; 0.5; 3; 0; 2; 0; 0.03; 1; 1; 12;33;
15; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;33;
16; 20; 20; 10; 0.5; 2; 0; 3; 0; 0.03; 1; 1; 11;33;
17; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;33;
18; 22; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;33;
19; 22; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 6;32;
20; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;33;

