geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; SerMutado; NumElitismo; melhor; media
1; 37; 30; 7; 0.2; ; 0.3; 11; 25; [1, 4, 10, 20] - 10861718
2; 30; 27; 6; 0.2; ; 0.3; 10; 19; [1, 4, 10, 20] - 10861689
3; 27; 26; 5; 0.2; ; 0.3; 9; 15; [1, 4, 10, 20] - 10861689
4; 26; 25; 5; 0.2; ; 0.3; 9; 15; [1, 4, 10, 20] - 10861660
5; 25; 25; 5; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861660
6; 25; 23; 5; 0.2; ; 0.3; 8; 15; [1, 4, 10, 20] - 10861594
7; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861594
8; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861594
9; 23; 22; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861594
10; 22; 23; 4; 0.2; ; 0.3; 7; 10; [1, 4, 10, 20] - 10861594
11; 23; 24; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861660
12; 24; 23; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861594
13; 23; 22; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861594
14; 22; 21; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861556
15; 21; 20; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861556
16; 20; 22; 12; 0.2; ; 0.3; 8; 18; [1, 4, 10, 20] - 10861594
17; 22; 20; 4; 0.2; ; 0.3; 7; 13; [1, 4, 10, 20] - 10861556
18; 20; 22; 12; 0.2; ; 0.3; 8; 18; [1, 4, 10, 20] - 10861594
19; 22; 22; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861594
20; 22; 22; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861594

