geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 38; 29; 3; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 10;1832
2; 29; 23; 2; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 7;1619
3; 23; 19; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 6;1556
4; 19; 21; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 7;1587
5; 21; 17; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 6;1527
6; 17; 17; 8; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 5;1527
7; 17; 17; 8; 0.5; 2; 2; 0; 0; 0.03; 0; 0; 6;1527
8; 17; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1527
9; 17; 17; 8; 0.5; 1; 2; 1; 0; 0.03; 0; 0; 5;1527
10; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1556

