geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;80;108;16;0.2;0.15;14;2;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4956
2;108;147;21;0.2;0.15;19;1;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4936
3;147;200;29;0.2;0.15;26;2;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;5032
4;200;271;40;0.2;0.15;36;5;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4907
5;271;367;54;0.2;0.15;48;6;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4856
6;367;501;73;0.2;0.15;66;5;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4929
7;501;683;100;0.2;0.15;90;8;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4946
8;683;932;136;0.2;0.15;122;9;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4944
9;932;1275;186;0.2;0.15;167;10;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4961
10;1275;1736;255;0.2;0.15;229;23;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4961

