geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 80; 55; 16; 0.2; 0.15; 14; 55; [1, 2, 9, 11, 21, 22, 23, 33, 47, 55, 57, 70] - 3653; 4746;
2; 55; 37; 11; 0.2; 0.15; 9; 38; [1, 2, 9, 11, 21, 22, 23, 33, 47, 55, 57, 70] - 3653; 4746;
3; 37; 25; 7; 0.2; 0.15; 6; 25; [1, 3, 13, 40, 44, 45, 57, 70] - 3838; 4746;
4; 25; 17; 5; 0.2; 0.15; 4; 17; [1, 3, 23, 33, 41, 47, 56, 63, 70] - 4174; 4746;
5; 17; 15; 10; 0.6; 0.15; 4; 16; [1, 3, 23, 33, 41, 47, 56, 63, 70] - 4174; 4746;
6; 15; 13; 9; 0.6; 0.15; 3; 14; [1, 3, 23, 33, 41, 47, 56, 63, 70] - 4174; 4746;
7; 13; 11; 7; 0.6; 0.15; 3; 12; [1, 3, 23, 33, 41, 47, 56, 63, 70] - 4174; 4746;
8; 11; 9; 6; 0.6; 0.15; 2; 10; [1, 3, 23, 33, 41, 47, 56, 63, 70] - 4174; 4206;

