geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;80;55;16;0.2;0.15;14;55;[1, 2, 9, 21, 23, 33, 47, 55, 57, 70] - 3500;4547
2;55;37;11;0.2;0.15;9;38;[1, 2, 9, 21, 23, 33, 47, 55, 57, 70] - 3500;4632
3;37;25;7;0.2;0.15;6;25;[1, 4, 11, 21, 23, 25, 33, 49, 58, 62, 70] - 3949;4542
4;25;17;5;0.2;0.15;4;17;[1, 4, 11, 21, 31, 41, 45, 57, 70] - 3975;4542
5;17;15;10;0.6;0.15;4;16;[1, 4, 11, 21, 31, 41, 45, 57, 70] - 3975;4542
6;15;13;9;0.6;0.15;3;14;[1, 4, 11, 21, 31, 41, 45, 57, 70] - 3975;5912
7;13;11;7;0.6;0.15;3;12;[1, 2, 9, 13, 21, 22, 33, 46, 49, 58, 62, 70] - 4191;5912
8;11;9;6;0.6;0.15;2;10;[1, 3, 9, 13, 31, 33, 41, 46, 47, 55, 57, 70] - 4470;5912
9;9;8;5;0.6;0.15;2;8;[1, 3, 9, 13, 31, 33, 41, 46, 47, 55, 57, 70] - 4470;5912
10;8;6;4;0.6;0.15;1;7;[1, 3, 9, 13, 31, 33, 41, 46, 47, 55, 57, 70] - 4470;4470
11;6;5;3;0.6;0.15;1;5;[1, 3, 9, 13, 31, 33, 41, 46, 47, 55, 57, 70] - 4470;4470

