geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 80; 55; 8; 0.1; 4; 0; 0; 0; 0.03; 2; 2; 70;42
2; 55; 34; 5; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 54;37
3; 34; 19; 3; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 38;34
4; 19; 20; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 16;34
5; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 14;34
6; 23; 15; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 20;32
7; 15; 17; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 10;33
8; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 16;33
9; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 14;33
10; 18; 18; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 18;33

