geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 80; 81; 16; 0.2; 0.3; 28; 43; [1, 2, 4, 10, 20] - 1163; 2147483646;
2; 81; 83; 16; 0.2; 0.3; 29; 43; [1, 2, 9, 11, 20] - 1165; 2291;
3; 83; 86; 16; 0.2; 0.3; 29; 42; [1, 3, 9, 11, 20] - 1320; 2273;
4; 86; 90; 17; 0.2; 0.3; 30; 43; [1, 3, 9, 11, 20] - 1320; 2273;
5; 90; 93; 18; 0.2; 0.3; 32; 47; [1, 4, 11, 20] - 1408; 2291;
6; 93; 95; 18; 0.2; 0.3; 33; 49; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
7; 95; 96; 19; 0.2; 0.3; 34; 52; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
8; 96; 97; 19; 0.2; 0.3; 34; 52; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
9; 97; 97; 19; 0.2; 0.3; 34; 53; [1, 2, 4, 11, 20] - 1485; 2147483646;
10; 97; 97; 19; 0.2; 0.3; 34; 53; [1, 2, 4, 11, 20] - 1485; 2147483646;

